arn, redisTsValue, currentSystemTs, passedTime, parallelLambdas
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#f5639153-c744-4990-b0d3-f42a9d6c64e5::5c418a63-603b-4445-bdfb-a39efee6b0e2, 1601581295536, 1601581296408, 872, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#f5639153-c744-4990-b0d3-f42a9d6c64e5::e9fab4fb-bcac-4821-8c38-bf963ad4d9d4, 1601581295545, 1601581296408, 863, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#f5639153-c744-4990-b0d3-f42a9d6c64e5::e9fab4fb-bcac-4821-8c38-bf963ad4d9d4, 1601581295545, 1601581296408, 863, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#f5639153-c744-4990-b0d3-f42a9d6c64e5::491e8406-0fe7-464e-b288-6fdd3b3d7858, 1601581295550, 1601581296408, 858, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#f5639153-c744-4990-b0d3-f42a9d6c64e5::491e8406-0fe7-464e-b288-6fdd3b3d7858, 1601581295550, 1601581296408, 858, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#f5639153-c744-4990-b0d3-f42a9d6c64e5::a503a2b0-748c-4e89-9a79-d57c4bc2b2d8, 1601581295554, 1601581296408, 854, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#f5639153-c744-4990-b0d3-f42a9d6c64e5::a503a2b0-748c-4e89-9a79-d57c4bc2b2d8, 1601581295554, 1601581296408, 854, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#f5639153-c744-4990-b0d3-f42a9d6c64e5::abfa0f49-f290-484a-903d-167f91f4b7c3, 1601581295563, 1601581296408, 845, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#f5639153-c744-4990-b0d3-f42a9d6c64e5::abfa0f49-f290-484a-903d-167f91f4b7c3, 1601581295563, 1601581296408, 845, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#f5639153-c744-4990-b0d3-f42a9d6c64e5::cb6f2501-3472-4623-940a-c161acd38da7, 1601581295568, 1601581296408, 840, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#f5639153-c744-4990-b0d3-f42a9d6c64e5::cb6f2501-3472-4623-940a-c161acd38da7, 1601581295568, 1601581296408, 840, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#f5639153-c744-4990-b0d3-f42a9d6c64e5::a521c1be-0e2d-411a-b672-c55bf1a72a6a, 1601581295579, 1601581296408, 829, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#f5639153-c744-4990-b0d3-f42a9d6c64e5::a521c1be-0e2d-411a-b672-c55bf1a72a6a, 1601581295579, 1601581296408, 829, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#f5639153-c744-4990-b0d3-f42a9d6c64e5::3aff12b4-2c72-47f3-85de-c015a9dfa8f5, 1601581295585, 1601581296408, 823, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#f5639153-c744-4990-b0d3-f42a9d6c64e5::3aff12b4-2c72-47f3-85de-c015a9dfa8f5, 1601581295585, 1601581296408, 823, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#f5639153-c744-4990-b0d3-f42a9d6c64e5::61355762-d421-4c16-8a53-65cb3a53e46e, 1601581295587, 1601581296408, 821, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#f5639153-c744-4990-b0d3-f42a9d6c64e5::61355762-d421-4c16-8a53-65cb3a53e46e, 1601581295587, 1601581296408, 821, 40
evaluation_arn:aws:lambda:eu-central-1:646012695651:function:gsd-index-calculator-dev-preprocess-with-redis#f5639153-c744-4990-b0d3-f42a9d6c64e5::e7136d4c-b035-4d27-86f8-7964f05a3021, 1601581295597, 1601581296408, 811, 40
